MSCID,MSCCHART,MSCARTIST,MSCSTATUS,LASTUSERNAME,LASTCHANGEDATE,
301200005701,AMA;AMA;AAA;AAA;,David Ramierez,No Fit,Administrator,2017.08.26 12:12:58,
301200005702,AMA;AMA;AAA;AAA;,Larry Cambell,No Fit,Administrator,2017.08.26 12:14:18,
301200005703,AMA;AMA;AAA;AAA;,Tom Irwin,No Fit,Administrator,2017.08.26 12:15:17,
301200005704,AMA;AMA;AAA;AAA;,Mike Blakely,No Fit,Administrator,2017.08.26 12:17:04,
301200005705,AMA;AMA;AAA;AAA;,Maggie Thorn,No Fit,Administrator,2017.08.26 12:18:43,
301200005706,AMA;AMA;AAA;AAA;,Radiation Puppy,No Fit,Administrator,2017.08.26 12:20:18,
301200005707,AMA;AMA;AAA;AAA;,Scott Fisher,No Fit,Administrator,2017.08.26 12:22:01,
301200005708,AMA;AMA;AAA;AAA;,Salio,No Fit,Administrator,2017.08.26 12:22:58,
301200005709,AMA;AMA;AAA;AAA;,Drakeford,No Fit,Administrator,2017.08.26 12:24:44,
301200005710,AMA;AMA;AAA;AAA;,Leather Tramp,No Fit,Administrator,2017.08.26 12:25:13,
301200005711,AMA;AMA;AAA;AAA;,John Birdsong,No Fit,Administrator,2017.08.26 12:26:13,
301200005723,AMA;AMA;AAA;AAA;,David Rawlings,No Fit,Administrator,2017.09.06 16:05:11,
301200005724,AMA;AMA;AAA;AAA;,Jackie Green,No Fit,Administrator,2017.09.06 16:07:10,
301200005725,AMA;AMA;AAA;AAA;,Joseph Wayne Miller,No Fit,Administrator,2017.09.06 16:21:54,
301200005726,AMA;AMA;AAA;AAA;,Charlie Karp,No Fit,Administrator,2017.09.06 16:23:31,
301200005727,AMA;AMA;AAA;AAA;,Blind Boys of Alabama,No Fit,Administrator,2017.09.06 16:37:59,
301200005728,AMA;AMA;AAA;AAA;,Lizz Wright,No Fit,Administrator,2017.09.06 16:40:45,
301200005729,AMA;AMA;AAA;AAA;,Ken Menks,No Fit,Administrator,2017.09.06 16:47:36,
301200005730,AMA;AMA;AAA;AAA;,Whiskey Shivers,No Fit,Administrator,2017.09.06 16:51:24,
301200005731,AMA;AMA;AAA;AAA;,Wild Ponies,No Fit,Administrator,2017.09.06 16:55:43,
301200005732,AMA;AMA;AAA;AAA;,YYY,No Fit,Administrator,2017.09.06 17:03:14,
301200005733,AAA;AAA;,jades Goudreault,No Fit,Administrator,2017.09.06 17:04:16,
301200005734,AMA;AMA;AAA;AAA;,Ezra Kire,No Fit,Administrator,2017.09.06 17:05:19,
301200005735,AMA;AMA;AAA;AAA;,RGF,No Fit,Administrator,2017.09.06 17:06:11,
301200005736,AMA;AMA;AAA;AAA;,Radney Foster,No Fit,Administrator,2017.09.06 17:15:46,
301200005737,AMA;AMA;AAA;AAA;,Them RUbies,No Fit,Administrator,2017.09.06 17:33:20,
301200005738,AMA;AMA;AAA;AAA;,Devin Sinha,No Fit,Administrator,2017.09.08 10:38:09,
301200005739,AAA;AAA;,Chris Pierce,No Fit,Administrator,2017.09.08 10:39:42,
301200005740,AMA;AMA;AAA;AAA;,James LeBlanc,No Fit,Administrator,2017.09.08 10:41:22,
301200005765,AMA;AMA;AAA;AAA;,Winterlings,No Fit,Administrator,2017.09.16 17:27:20,
301200005766,AMA;AMA;AAA;AAA;,Esobo,No Fit,Administrator,2017.09.16 17:31:06,
301200005767,AMA;AMA;AAA;AAA;,John McAndrew,No Fit,Administrator,2017.09.16 17:38:37,
301200005768,AMA;AMA;AAA;AAA;,Lakshmi,No Fit,Administrator,2017.09.16 17:39:00,
301200005769,AMA;AMA;AAA;AAA;,Joe Smith,No Fit,Administrator,2017.09.16 17:47:29,
301200005770,AMA;AMA;AAA;AAA;,Rusty Young,No Fit,Administrator,2017.09.16 17:53:32,
301200005771,AMA;AMA;AAA;AAA;,Dan Whitaker,No Fit,Administrator,2017.09.16 17:54:40,
301200005772,AMA;AMA;AAA;AAA;,Lil Smokies,No Fit,Administrator,2017.09.16 18:00:40,
301200005773,AMA;AMA;AAA;AAA;,Sunday Wilde,No Fit,Administrator,2017.09.16 18:10:28,
301200005774,AMA;AMA;AAA;AAA;,Jordan Pepper,No Fit,Administrator,2017.09.16 18:23:19,
301200005775,AMA;AMA;AAA;AAA;,jon Langford,No Fit,Administrator,2017.09.16 18:24:27,
301200005776,AMA;AMA;AAA;AAA;,Fred Wiekham,No Fit,Administrator,2017.09.16 18:28:48,
301200005778,AMA;AMA;AAA;AAA;,Papersleeves,No Fit,Administrator,2017.09.16 18:32:07,
301200005780,AMA;AMA;AAA;AAA;,Kelsey Kerrigan,No Fit,Administrator,2017.09.16 18:36:16,
301200005782,AMA;AMA;AAA;AAA;,Strech,No Fit,Administrator,2017.09.16 18:43:53,
301200005784,AMA;AMA;AAA;AAA;,AZWEL,No Fit,Administrator,2017.09.16 18:46:41,
301200005786,AMA;AMA;AAA;AAA;,Eli Fox,No Fit,Administrator,2017.09.16 18:54:48,
301200005801,AMA;AMA;AAA;AAA;,Ryan Koenig,No Fit,Administrator,2017.09.24 18:23:33,
301200005803,AMA;AMA;AAA;AAA;,Frogleg,No Fit,Administrator,2017.09.24 18:27:26,
301200005805,AAA;AAA;,Ranzel kendrick,No Fit,Administrator,2017.09.24 18:31:50,
301200005807,AMA;AMA;AAA;AAA;,Billy Strings,No Fit,Administrator,2017.09.24 18:38:12,
301200005809,AMA;AMA;AAA;AAA;,Anna Tivel,No Fit,Administrator,2017.09.24 18:44:38,
301200005811,AMA;AMA;AAA;AAA;,Ragged Union,No Fit,Administrator,2017.09.24 19:01:55,
301200005823,AMA;AMA;AAA;AAA;,Adan Marsland,No Fir,Administrator,2017.10.01 12:18:13,
301200005825,AMA;AMA;AAA;AAA;,Ane Brun,No Fit,Administrator,2017.10.01 12:24:17,
301200005827,AMA;AMA;AAA;AAA;,Michael McDonold,No Fit,Administrator,2017.10.01 12:27:38,
301200005829,AMA;AMA;AAA;AAA;,Laurence Jones,NO Fit,Administrator,2017.10.01 12:40:06,
301200005831,AMA;AMA;AAA;AAA;,Lydia Loveless,No Fit,Administrator,2017.10.01 12:42:34,
301200005833,AMA;AMA;AAA;AAA;,Dominic Cicala,No Fit,Administrator,2017.10.01 12:48:16,
301200005834,AMA;AMA;AAA;AAA;,Turnpike Troubadours,No Fit,Administrator,2017.10.01 12:52:24,
301200005836,AMA;AMA;AAA;AAA;,Joshua Davis,No Fit,Administrator,2017.10.01 12:55:23,
301200005838,AMA;AMA;AAA;AAA;,Keah Capelle,No Fit,Administrator,2017.10.01 12:57:58,
301200005840,AMA;AMA;AAA;AAA;,Gold Freanincense and Myrrh,No Fit,Administrator,2017.10.01 13:01:01,
301200005842,AMA;AMA;AAA;AAA;,Leon Russel,No Fit,Administrator,2017.10.01 13:08:52,
301200005870,AMA;AMA;AAA;AAA;,Elizateh and the Catapult,No Fit,Administrator,2017.10.08 14:55:02,
301200005872,AMA;AMA;AAA;AAA;,Aztec Two Step,No Fit,Administrator,2017.10.08 15:00:00,
301200005874,AMA;AMA;AAA;AAA;,Deep c Divers,No fit,Administrator,2017.10.08 15:23:26,
301200005876,AMA;AMA;AAA;AAA;,Lloyd Price,No Fit,Administrator,2017.10.08 15:37:55,
301200005878,AMA;AMA;AAA;AAA;,May Erlewine,No Fit,Administrator,2017.10.08 15:40:51,
301200005880,AMA;AMA;AAA;AAA;,The Reailsplitters,No Fit,Administrator,2017.10.08 15:43:46,
301200005777,AMA;AMA;AAA;AAA;,Matt Taeler,No Fit,Administrator,2017.09.16 18:30:27,
301200005779,AMA;AMA;AAA;AAA;,Lavender Scare,No Fit,Administrator,2017.09.16 18:33:24,
301200005781,AMA;AMA;AAA;AAA;,Chandrika Tandon,No Fit,Administrator,2017.09.16 18:38:55,
301200005783,AMA;AMA;AAA;AAA;,Clockwork Revolution,No Fit,Administrator,2017.09.16 18:45:04,
301200005785,AMA;AMA;AAA;AAA;,Richard Schroder,No Fit,Administrator,2017.09.16 18:49:53,
301200005787,AMA;AMA;AAA;AAA;,Max Gomez,No Fit,Administrator,2017.09.16 18:56:10,
301200005802,AMA;AMA;AAA;AAA;,Jimmie Bratcher,No Fit,Administrator,2017.09.24 18:25:23,
301200005804,AMA;AMA;AAA;AAA;,Man Called Noon,No Fit,Administrator,2017.09.24 18:30:48,
301200005806,AMA;AMA;AAA;AAA;,Lloyd Price,No Fit,Administrator,2017.09.24 18:35:20,
301200005808,AMA;AMA;AAA;AAA;,Peter Cooper,No Fit,Administrator,2017.09.24 18:39:24,
301200005810,AMA;AMA;AAA;AAA;,White Buffalo,No Fit,Administrator,2017.09.24 18:57:31,
301200005812,AMA;AMA;AAA;AAA;,Whitney Rose,No Fit,Administrator,2017.09.24 19:06:45,
301200005824,AMA;AMA;AAA;AAA;,Rob Martinez,No Fit,Administrator,2017.10.01 12:20:41,
301200005826,AMA;AMA;AAA;AAA;,Lou Reed,No Fit,Administrator,2017.10.01 12:26:03,
301200005828,AMA;AMA;AAA;AAA;,Mark Stoermer,No Fit,Administrator,2017.10.01 12:30:45,
301200005830,AMA;AMA;AAA;AAA;,Tod Pronto,No Fit,Administrator,2017.10.01 12:41:10,
